ticker,bics_sector
8815 JT,Financial
8830 JT,Financial
9001 JT,Industrial
9005 JT,Industrial
9007 JT,Industrial
9008 JT,Industrial
9009 JT,Industrial
9020 JT,Industrial
9021 JT,Industrial
9022 JT,Industrial
9062 JT,Industrial
9064 JT,Industrial
9101 JT,Industrial
9104 JT,Industrial
9107 JT,Industrial
9147 JT,Industrial
9201 JT,"Consumer, Cyclical"
9202 JT,"Consumer, Cyclical"
9301 JT,Industrial
9412 JT,Communications
9432 JT,Communications
9433 JT,Communications
9434 JT,Communications
9437 JT,Communications
9501 JT,Utilities
9502 JT,Utilities
9503 JT,Utilities
9531 JT,Utilities
9532 JT,Utilities
9602 JT,"Consumer, Cyclical"
9613 JT,Technology
9681 JT,"Consumer, Cyclical"
9735 JT,"Consumer, Non-cyclical"
9766 JT,Technology
9843 JT,"Consumer, Cyclical"
9983 JT,"Consumer, Cyclical"
9984 JT,Communications
